












YEAR,- all -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,- multiple -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sum of Jumlah,,,WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30000044,CAF BOLD PCH (24x5),,0.25,0.375,4.25,,3,,1.125,1.25,3,1.125,2.625,1.167,0.5,2,4,1,2,0.125,1.75,,0.25,1,2,1,0.25,2,0.25,1,2.166,1,2,2,2,2,0.125,0.25,,1.625,50.458,1,1.26145,5.666,7,5.0458,5.55038,5.6,,30000084,TUBRUK GADJAH MANIS PCH (12x10)
,30000045,CAF BOLD RTG (12x10),6.167,4,11.584,45.169,27.333,,0.917,1,12.5,47.414,32.583,8,11.75,40.913,36.581,19.25,83.416,10.167,19.583,21.581,41.582,15.583,25.836,20.913,58.825,34.917,26.664,32.828,39.249,56.498,40.498,41.077,14.25,50.834,16.583,17.333,31.25,88.909,16.249,1109.786,34.0648,27.74465,190.156,146.659,110.9786,115.417744,115.5,,30000085,TUBRUK GADJAH MANIS RTG (12x10)
,30000084,TUBRUK GADJAH MANIS PCH (12x10),,1,0.5,,,2,,,,1,,2.083,0.167,,,,,3,,,,,1,,0.5,,,,1,,,,,,2,,,,,14.25,2,0.35625,1,0,1.425,1.5675,1.6,,30000087,TUBRUK GADJAH ASLI PCH 138gr (20)
,30000085,TUBRUK GADJAH MANIS RTG (12x10),8.749,21.915,40.836,21.249,23.334,16.666,41.587,25.835,26.499,29.839,23.249,17.003,22.252,17.587,34.585,18.585,24.42,22.25,14.251,21.751,46.081,22.581,26.997,24.584,26.335,23.079,20.752,16.247,27.25,72.667,45.916,21.085,30.248,34.415,35.083,25.584,19.747,16.338,19.752,1027.183,23.3008,25.679575,159.995,131.664,102.7183,112.99013,113,,30000088,TUBRUK GADJAH ASLI PCH 6gr (10x20)
,30000087,TUBRUK GADJAH ASLI PCH 138gr (20),14.05,24.8,42.95,25.05,63.3,21.8,31.7,32.4,33.05,26.45,30.55,36.9,24.1,32.05,33.6,20,14.7,27.15,25.25,25.15,41.3,17.4,49.5,34.75,52.75,23.15,35.35,40.5,22.85,46,53.5,24.5,33.5,34.6,31.45,26.35,35.05,29.45,22.65,1239.6,28.99,30.99,167.85,146.1,123.96,123.96,124,,30000089,TUBRUK GADJAH ASLI RTG (10x20)
,30000088,TUBRUK GADJAH ASLI PCH 6gr (10x20),,1,,,,,,,,,,,,,1.2,,,,,,,,1,,,,,,,,,,,,,,,,,3.2,0,0.08,0,0,0.32,0.352,0.4,,30000120,CAF BOLD DARK CAPP GST (20x6)
,30000089,TUBRUK GADJAH ASLI RTG (10x20),0.6,4.8,8.7,11.7,5.5,6.8,12.6,10.2,9.9,8.2,3.9,17.9,6.8,2.4,6.4,4.5,5.4,6.7,4.5,8.8,15.7,6.4,8,9.1,11.3,6,6,8.3,1.1,1.6,,,,,,,,,,219.8,0,5.495,23,0,21.98,26.376,26.4,,30000121,CAF BOLD DARK CAPP RTG (12x10)
,30000120,CAF BOLD DARK CAPP GST (20x6),,,0.3,,,,0.2,,1,0.4,0.7,0.45,0.2,,,1,0.2,,,,,,,,1,0.3,,,,0.3,,,0.3,,,,,0.5,,6.85,0.5,0.17125,0.6,0.3,0.685,0.7535,0.8,,30000147,CAF COCO GST (20x9) - 2B1
,30000121,CAF BOLD DARK CAPP RTG (12x10),6.167,32.085,41.087,34.837,51.497,17.667,29.499,23.498,103.666,46.749,29.331,22.166,26.334,57.583,35.415,15.999,49.583,35.498,27.499,25.749,86.418,23.584,28.498,34.582,53.251,35.333,25.25,50.084,56.498,64.997,44.998,41.837,19.916,44.418,33.332,18.749,30.419,87.336,18.585,1509.994,37.6842,37.74985,232.162,151.169,150.9994,181.19928,181.2,,30000180,TUBRUK GADJAH ASLI PCH 60gr (40)
,30000147,CAF COCO GST (20x9) - 2B1,,,,1,,0.05,,,0.5,0.1,,0.6,0.3,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,2.95,0,0.07375,0,0,0.295,0.354,0.4,,30000190,CAF ICE CHOCOMALT GST (20x9) - 2B1
,30000180,TUBRUK GADJAH ASLI PCH 60gr (40),1.75,6.225,9,2.15,5.5,4,2.025,7.125,5.725,4.75,3.5,8.375,3.225,2.3,2.9,4.65,2.4,3.4,2.05,5.5,3.125,2.275,2.35,4.45,5.45,8.7,3.05,1.7,4.525,5.075,15.95,5.3,1.55,3.425,1.425,,0.075,3.475,3.05,161.5,2.00625,4.0375,23.05,26.225,16.15,0,0,,30000192,CAF ICE PANDAN AREN GST (20x9) - 2B1
,30000190,CAF ICE CHOCOMALT GST (20x9) - 2B1,,,,,,,,,,0.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0,0.01125,0,0,0.045,0.054,0.1,,30000233,CAF ICE CHOCOMALT GST (20x6)
,30000192,CAF ICE PANDAN AREN GST (20x9) - 2B1,,,,,,,0.3,7,,0.25,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,8.05,0,0.20125,0,0,0.805,0,0,,30000235,CAF ICE PANDAN AREN GST (20x6)
,30000233,CAF ICE CHOCOMALT GST (20x6),,0.5,0.3,,,0.05,0.2,,,0.35,0.3,0.2,1.5,0.4,,0.5,0.35,0.1,0.15,0.8,0.45,,,,0.3,,1,0.05,0.3,0.4,0.2,1,,0.1,0.5,,,0.05,,10.05,0.275,0.25125,1.75,1.3,1.005,1.005,1.1,,30000240,CAF BROWN GST (20x6)
,30000235,CAF ICE PANDAN AREN GST (20x6),,0.5,0.3,,,0.05,,,,0.25,,,0.3,0.2,,,,,,4,,,,,,,,,,,,,,,,,,,,5.6,0,0.14,0,0,0.56,0.616,0.7,,30000241,CAF BROWN RTG (12x10)
,30000240,CAF BROWN GST (20x6),,,0.3,,,0.05,,30,,0.15,,,0.65,0.4,,0.35,0.25,,0.55,20,0.3,,1,,0.3,,,,0.3,0.7,0.2,1,,1.05,,,,0.5,12,70.05,6.25,1.75125,1,2.25,7.005,7.7055,7.8,,30000245,TUBRUK GADJAH MANIS SPC MIX RTG (12x10)
