YEAR,- all -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlet Type,- multiple -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Jumlah,,,WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINC 1,Kode Produk,Produk,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,Total Result,AVG 12W,AVG 5W,AVG MONTH,Adjustment,,
,30000084,TUBRUK GADJAH MANIS PCH (12x10),,1,0.5,,,2,,,,1,,2.083,0.167,,,,,3,,,,,9.75,1.5625,3,6.25,6.875,,
,30000085,TUBRUK GADJAH MANIS RTG (12x10),8.749,21.915,40.836,21.249,23.334,16.666,41.587,25.835,26.499,29.839,23.249,17.003,22.252,17.587,34.585,18.585,24.42,23,14.251,21.751,46.081,22.581,541.853999999999,24.3835833333333,25.9006,97.5343333333333,107.287766666667,,
,30000087,TUBRUK GADJAH ASLI PCH 138gr (20),14.05,24.8,42.95,25.05,63.3,21.8,31.7,32.4,33.05,26.45,30.55,36.9,24.1,32.05,33.6,20,14.7,27.15,25.25,25.15,41.3,17.4,643.699999999999,28.1,26.71,112.4,123.64,,
,30000088,TUBRUK GADJAH ASLI PCH 6gr (10x20),,1,,,,,,,,,,,,,1.2,,,,,,,,2.2,1.2,0,4.8,5.28,,
,30000089,TUBRUK GADJAH ASLI RTG (10x20),0.6,4.8,8.7,11.7,5.5,6.8,12.6,10.2,9.9,8.2,3.9,17.9,6.8,2.4,6.4,4.5,5.4,6.7,4.5,8.8,15.7,6.4,168.4,7.6,8.22,30.4,33.44,,
,30000120,CAF BOLD DARK CAPP GST (20x6),,,0.3,,,,0.2,,1,0.4,0.7,0.45,0.2,,,1,0.2,,,,,,4.45,0.491666666666667,0.2,1.96666666666667,2.16333333333333,,
,30000121,CAF BOLD DARK CAPP RTG (12x10),6.167,32.085,41.087,34.837,51.497,17.667,29.499,23.498,103.666,46.749,29.331,22.166,26.334,52.25,35.415,15.999,49.583,35.498,27.499,25.749,86.418,23.584,816.578,37.74925,44.9494,150.997,166.0967,,
,30000147,CAF COCO GST (20x9) - 2B1,,,,1,,0.05,,,0.5,0.1,,0.6,0.3,,,,0.4,,,,,,2.95,0.35,0.4,1.4,1.54,,
,30000180,TUBRUK GADJAH ASLI PCH 60gr (40),1.75,6.225,9,2.15,5.5,4,2.025,7.125,5.725,4.75,3.5,8.375,3.225,2.3,2.9,4.65,2.4,3.4,2.05,5.5,3.125,2.275,91.95,3.84791666666667,3.295,15.3916666666667,16.9308333333333,,
,30000190,CAF ICE CHOCOMALT GST (20x9) - 2B1,,,,,,,,,,0.3,0.15,,,,,,,,,,,,0.45,0.225,0,0.9,0.99,,
,30000192,CAF ICE PANDAN AREN GST (20x9) - 2B1,,,,,,,0.3,7,,0.25,,0.3,0.2,,,,,,,,,,8.05,0.25,0,1,1.1,,
,30000233,CAF ICE CHOCOMALT GST (20x6),,0.5,0.3,,,0.05,0.2,,,0.35,0.3,0.2,1.5,0.4,,0.5,0.35,0.1,0.15,0.8,0.45,,6.15,0.463636363636364,0.37,1.85454545454545,2.04,,
,30000235,CAF ICE PANDAN AREN GST (20x6),,0.5,0.3,,,0.05,,,,0.25,,,0.3,0.2,,,,,,4,,,5.6,1.1875,4,4.75,5.225,,
,30000240,CAF BROWN GST (20x6),,,0.3,,,0.05,,30,,0.15,,,0.65,0.4,,0.35,0.25,,0.55,20,0.3,,53,2.83125,5.275,11.325,12.4575,,
,30000241,CAF BROWN RTG (12x10),,0.583,,,,,,,,,,,,,,,,,,,,,0.583,0,0,0,0,,
,30000245,TUBRUK GADJAH MANIS SPC MIX RTG (12x10),9.583,14.333,30.585,10.833,7.083,7.165,14.334,12.749,19.502,15.833,4,12.167,8.916,6.084,7.166,10,17.751,13.585,18.833,5.499,27.333,5.75,279.084,12.2639166666667,16.6002,49.0556666666667,53.9612333333333,,
SKR,1000021,FOX'S Fruits Tin (12) SS,0.75,0.75,4.25,2.75,3.25,2.25,0.083,,10,0.998,,,,,,,,,4.499,1.25,,2.746,33.576,2.249,2.8745,8.996,9.8956,,15
,1000022,FOX'S Berries Tin (12) SS,0.75,0.75,4,3.917,2.25,1.25,,0.333,,,,,,,,,,,4.083,2.417,,2.748,22.498,3.25,3.25,13,14.3,100,50
,1000023,FOX'S Fruity Mints Tin (12) SS,0.5,0.25,5,2.25,1.75,3.167,6,10,10.5,2.998,12.5,3,2.417,,,,,,,,,,60.332,5.22875,0,20.915,23.0065,,
,1000054,FOX'S Mint Blossom OFW Bag (24),0.5,7.25,14.794,14.626,32.709,30,,,30.377,17.294,4,28.998,11.252,50.056,14.122,12.081,24.672,49.162,64.334,31.75,33.086,19.168,490.231,28.4005833333333,40.6008,113.602333333333,124.962566666667,,
,1000069,FOX'S Berries Bag (24),7,10.125,15.125,9.625,16,17.375,7,22.25,28.542,16.375,14.502,46.833,9.75,19.25,22.415,10.25,5.625,6.833,9.458,8,28.75,7.25,338.333,16.5034166666667,11.7332,66.0136666666667,72.6150333333333,10,5
,1000071,FOX'S Fruits Bag (24),4.25,9.875,20.083,7,29.25,10.125,4.75,20.75,26.792,28.25,12.001,28.5,8.125,16.418,18.5,12.75,9.125,10.583,15.833,4.125,32,5.375,334.46,16.3508333333333,14.3332,65.4033333333333,71.9436666666667,,
,1000072,FOX'S Fruity Mints Bag (24),4,9.125,16.5,9.75,25.5,10.5,4,25.5,17.667,18,6.292,6,3.292,10.293,25,14.333,10.083,6.083,12.833,5.375,32.875,4.958,277.959,12.53825,13.4498,50.153,55.1683,,
,1000073,FOX'S Mints Bag (24),0.25,3.375,5.25,3.375,21.375,12.625,2,12.25,15.917,8.5,2.5,29.5,1,2.377,5.75,4.875,0.375,3,8.75,,22.75,1.25,167.044,8.12518181818182,8.71875,32.5007272727273,35.7508,,15
,1000074,FOX'S Spring Tea Bag (24),2.375,4.375,7.958,5.75,35.5,13.375,5.25,20.25,15.75,19.5,5.25,6.375,8,8.792,19.582,8.833,2,3.125,13.75,1.875,19.375,2,229.04,9.70475,8.025,38.819,42.7009,100,50
,1000075,FOX'S Berries OFW Bag (24),2.416,2.415,2.084,0.79,6,9.373,4.083,2.125,54.919,38.459,6.667,0.333,3.417,32.842,40.722,14.874,35.923,59.881,103.929,41.252,62.756,33.17,558.429999999999,36.7545833333334,60.7482,147.018333333333,161.720166666667,,
,1000076,FOX'S Fruits OFW Bag (24),,1.627,2,,0.042,4.5,1,0.083,50.501,40.628,27.505,5.257,3.587,41.685,69.2260000000001,39.578,44.007,76.506,84.258,49.084,66.007,28.834,635.914999999999,45.6106666666667,63.9724,182.442666666667,200.686933333333,,
,1000077,FOX'S Fruity Mints OFW Bag (24),0.834,2.001,1.583,14.457,10.458,2.5,0.083,,30.96,18.042,15.919,20.291,3.583,32.714,40.376,19.087,17.834,39.58,16.252,25.082,44.171,19.833,375.64,24.4109166666667,28.5838,97.6436666666667,107.408033333333,10,5
,1000078,FOX'S Spring Tea OFW Bag (24),,0.249,,2.581,30,15.5,,1,35.584,17.251,4.004,12.996,13.707,30.386,23.756,14.626,23.882,58.203,55.504,34.162,32.505,19.967,425.862999999999,26.7485,40.8512,106.994,117.6934,,
,1000080,FOX'S Fruits Tin (12),,,,,,,,,1,,,,,,,,,,,,,,1,0,0,0,0,,15
,1000081,FOX'S Fruity Mints Tin (12),,,,,5,,,0.75,10.249,0.667,31.997,21,0.25,,,,,,,,,,69.913,13.4785,0,53.914,59.3054,70,30
,1000082,FOX'S Berries Stickpack 6 (24),,,,0.167,,0.167,,,,,,,,,0.167,0.333,,0.333,,,,,1.167,0.277666666666667,0.333,1.11066666666667,1.22173333333333,,
,1000083,FOX'S Fruits Stickpack 6 (24),0.167,0.668,1.669,0.334,0.501,0.334,0.167,0.167,,,,,,,,,,,,,,,4.007,0,0,0,0,10,5
,1000095,FOX'S Coffee World OFW Bag (24),3,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,,
,1000096,FOX'S Himalayan SaltLemonMints Sch 6 (12),,,,,,,,,,,0.167,,,,,,,,,,,,0.167,0.167,0,0.668,0.7348,,
,1000134,FOX'S Heritage OFW Bag (24),2,0.5,1,,,,,,0.042,,,,,,,,,,,,,,3.542,0,0,0,0,,
,1000156,FOX'S Coffee World Creamy Blend Bag (24),1.25,1.5,3.916,5.208,30.25,0.5,,,,,,,,,,,,,,,,,42.624,0,0,0,0,70,30
,1000255,FOX'S Spring Tea OFW Bag (24) KM,6.459,16.459,9.376,12.627,19.125,6.625,18.125,29.134,23.751,9.335,11.084,10.585,2.5,,1,,,,,,,,176.185,6.9008,0,27.6032,30.36352,,
,1000257,FOX'S Fruits OFW Bag (24) KM,13.084,21.249,44.379,28.418,43.168,22.042,25.627,38.635,41.257,5,,27.879,22.339,17.046,0.377,0.5,4,,,,,,354.999999999998,11.0201428571429,4,44.0805714285714,48.4886285714286,,15
,1000258,FOX'S Berries OFW Bag (24) KM,7.875,21.129,42.251,29.335,38.715,14.75,29.292,36.257,38.63,3.5,5.168,46.59,25.591,20.961,10.836,19.499,7.167,4,0.333,,,,401.878999999999,14.3645,3.83333333333333,57.458,63.2038,,15
,1000259,FOX'S Fruity Mints OFW Bag (24) KM,6.917,16.128,13.832,3.043,26.251,5.792,25.375,32.505,25.878,10.208,3.25,7.083,17.416,0.5,2.042,,,,,,,,196.22,6.74983333333333,0,26.9993333333333,29.6992666666667,70,30
,1000260,FOX'S Mint Blossom OFW Bag (24) KM,2.251,11.501,1,1.5,19.916,6.749,26.875,27.504,19.084,17.417,10.501,6.5,2.167,0.792,1,,,,,,,,154.757,6.39616666666667,0,25.5846666666667,28.1431333333333,,
SKR BEV,1000244,Hydroplus Isotonic 350ml (12),7.499,60,21,34,4,55.997,13,8,,40.667,7.083,77,3.417,16,27,19,18,38.833,26.5,18,3,2,499.996,24.5416666666667,20.8666,98.1666666666667,107.983333333333,10,5
,1000246,Hydroplus Isotonic 500ml (12),,,,,,,,,,,,,,,8,,,,,,,,8,8,0,32,35.2,,
,1000269,Hydroplus Isotonic 350ml (12) NM,,,,,,,,,,,,,,,,,,,4,2,2,19,27,2.66666666666667,2.66666666666667,10.6666666666667,11.7333333333333,10,5
,1000271,Hydroplus Isotonic 200ml (12),,,,,,,,,,,,,,,,6,37,79.666,20,52.167,18,11.503,224.336,35.4721666666667,41.3666,141.888666666667,156.077533333333,,
SKR ,1000054,FOX'S Mint Blossom OFW Bag (24),,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0,1,1.1,,
,1000075,FOX'S Berries OFW Bag (24),,,,,,,,,,,,,,0.25,,,,,,,,,0.25,0.25,0,1,1.1,,
,1000077,FOX'S Fruity Mints OFW Bag (24),,,,,,,,,,,,,,0.042,,,,,,,,,0.042,0.042,0,0.168,0.1848,,
Total Result,,,438.228000000001,724.477000000002,1407.51800000002,930.34799999999,1566.95600000001,729.992999999999,904.380999999998,1023.075,1645.866,1596.867,821.662,1421.543,1055.467,1441.6,1368.616,1023.936,1668.85499999999,1287.98,1072.198,990.935999999998,1602.399,890.36,25613.2609999997,1279.33825,1324.4736,5117.353,5629.0883,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,
